441 	 2 	 0 	 2 	 2 	 2 	 2 	 2 	 2 	 0 	 -0.026831
652 	 2 	 2 	 0 	 2 	 2 	 2 	 0 	 2 	 2 	 -0.026831
653 	 2 	 2 	 0 	 2 	 2 	 2 	 2 	 0 	 2 	 -0.026831
88 	 0 	 2 	 2 	 2 	 2 	 2 	 2 	 2 	 0 	 -0.026831
440 	 2 	 0 	 2 	 2 	 2 	 2 	 0 	 2 	 2 	 -0.026831
683 	 2 	 2 	 2 	 1 	 1 	 2 	 1 	 1 	 0 	 0.026561
719 	 2 	 2 	 2 	 2 	 1 	 1 	 0 	 1 	 1 	 0.026561
692 	 2 	 2 	 2 	 1 	 2 	 1 	 1 	 0 	 1 	 0.026561
485 	 2 	 1 	 1 	 2 	 0 	 2 	 0 	 1 	 1 	 -0.023663
244 	 1 	 2 	 1 	 0 	 2 	 2 	 1 	 0 	 1 	 -0.023663
502 	 2 	 1 	 1 	 2 	 2 	 0 	 0 	 1 	 1 	 -0.023663
173 	 1 	 1 	 2 	 0 	 2 	 2 	 1 	 1 	 0 	 -0.023663
290 	 1 	 2 	 1 	 2 	 2 	 0 	 1 	 0 	 1 	 -0.023663
202 	 1 	 1 	 2 	 2 	 0 	 2 	 1 	 1 	 0 	 -0.023663
576 	 2 	 1 	 3 	 2 	 1 	 3 	 2 	 0 	 2 	 0.023513
341 	 1 	 2 	 3 	 1 	 2 	 3 	 0 	 2 	 2 	 0.023513
420 	 2 	 0 	 2 	 1 	 2 	 3 	 1 	 2 	 1 	 -0.022538
79 	 0 	 2 	 2 	 2 	 1 	 3 	 2 	 1 	 1 	 -0.022538
0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0.022448
13 	 0 	 0 	 0 	 2 	 2 	 4 	 2 	 2 	 4 	 0.022448
1 	 0 	 0 	 0 	 0 	 1 	 1 	 0 	 1 	 1 	 0.022448
4 	 0 	 0 	 0 	 1 	 1 	 0 	 1 	 1 	 0 	 0.022448
3 	 0 	 0 	 0 	 1 	 0 	 1 	 1 	 0 	 1 	 0.022448
10 	 0 	 0 	 0 	 2 	 1 	 3 	 2 	 1 	 3 	 0.022448
7 	 0 	 0 	 0 	 1 	 2 	 3 	 1 	 2 	 3 	 0.022448
6 	 0 	 0 	 0 	 1 	 2 	 1 	 1 	 2 	 1 	 0.022448
5 	 0 	 0 	 0 	 1 	 1 	 2 	 1 	 1 	 2 	 0.022448
2 	 0 	 0 	 0 	 0 	 2 	 2 	 0 	 2 	 2 	 0.022448
12 	 0 	 0 	 0 	 2 	 2 	 2 	 2 	 2 	 2 	 0.022448
